"","lhs","","rhs","support","confidence","lift"
"[7]13","{breathes=TRUE,legs=TRUE}","=>","{aquatic=FALSE}",0.594059405940594,0.821917808219178,1.27713382507903
"[8]13","{breathes=TRUE,catsize=FALSE}","=>","{aquatic=FALSE}",0.326732673267327,0.804878048780488,1.25065666041276
"[9]13","{airborne=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.445544554455446,0.803571428571429,1.24862637362637
"[1]34","{hair=TRUE,predator=TRUE}","=>","{toothed=TRUE}",0.188118811881188,0.95,1.57295081967213
"[2]29","{feathers=FALSE,predator=TRUE}","=>","{toothed=TRUE}",0.366336633663366,0.787234042553192,1.30345308685037
"[3]22","{predator=TRUE,backbone=TRUE}","=>","{toothed=TRUE}",0.366336633663366,0.787234042553192,1.30345308685037
"[4]8","{predator=TRUE,tail=TRUE}","=>","{toothed=TRUE}",0.306930693069307,0.738095238095238,1.22209211553474
"[1]124","{hair=TRUE,predator=TRUE}","=>","{toothed=TRUE}",0.188118811881188,0.95,1.57295081967213
"[2]120","{feathers=FALSE,predator=TRUE}","=>","{toothed=TRUE}",0.366336633663366,0.787234042553192,1.30345308685037
"[3]112","{predator=TRUE,backbone=TRUE}","=>","{toothed=TRUE}",0.366336633663366,0.787234042553192,1.30345308685037
"[4]16","{predator=TRUE,tail=TRUE}","=>","{toothed=TRUE}",0.306930693069307,0.738095238095238,1.22209211553474
"[1]35","{hair=TRUE,predator=TRUE}","=>","{toothed=TRUE}",0.188118811881188,0.95,1.57295081967213
"[2]30","{feathers=FALSE,predator=TRUE}","=>","{toothed=TRUE}",0.366336633663366,0.787234042553192,1.30345308685037
"[3]23","{predator=TRUE,backbone=TRUE}","=>","{toothed=TRUE}",0.366336633663366,0.787234042553192,1.30345308685037
"[4]9","{predator=TRUE,tail=TRUE}","=>","{toothed=TRUE}",0.306930693069307,0.738095238095238,1.22209211553474
"[1]125","{hair=TRUE,predator=TRUE}","=>","{toothed=TRUE}",0.188118811881188,0.95,1.57295081967213
"[2]121","{feathers=FALSE,predator=TRUE}","=>","{toothed=TRUE}",0.366336633663366,0.787234042553192,1.30345308685037
"[3]113","{predator=TRUE,backbone=TRUE}","=>","{toothed=TRUE}",0.366336633663366,0.787234042553192,1.30345308685037
"[4]17","{predator=TRUE,tail=TRUE}","=>","{toothed=TRUE}",0.306930693069307,0.738095238095238,1.22209211553474
"[1]36","{toothed=FALSE,backbone=TRUE}","=>","{eggs=TRUE}",0.217821782178218,1,1.71186440677966
"[2]31","{milk=FALSE,backbone=TRUE}","=>","{eggs=TRUE}",0.405940594059406,0.976190476190476,1.67110573042776
"[1]126","{toothed=FALSE,backbone=TRUE}","=>","{eggs=TRUE}",0.217821782178218,1,1.71186440677966
"[2]122","{milk=FALSE,backbone=TRUE}","=>","{eggs=TRUE}",0.405940594059406,0.976190476190476,1.67110573042776
"[1]37","{toothed=FALSE,backbone=TRUE}","=>","{eggs=TRUE}",0.217821782178218,1,1.71186440677966
"[2]32","{milk=FALSE,backbone=TRUE}","=>","{eggs=TRUE}",0.405940594059406,0.976190476190476,1.67110573042776
"[1]127","{toothed=FALSE,backbone=TRUE}","=>","{eggs=TRUE}",0.217821782178218,1,1.71186440677966
"[2]123","{milk=FALSE,backbone=TRUE}","=>","{eggs=TRUE}",0.405940594059406,0.976190476190476,1.67110573042776
"[1]38","{feathers=FALSE,venomous=FALSE}","=>","{airborne=FALSE}",0.663366336633663,0.917808219178082,1.20387831346735
"[1]128","{feathers=FALSE,venomous=FALSE}","=>","{airborne=FALSE}",0.663366336633663,0.917808219178082,1.20387831346735
